filename,category,primary_topic,brief_description,absolute_path
Aula 4 - Como vender no inbox.md,BOTH,inbox-sales,Selling through direct messages,squads/leandro-ladeira/data/knowledge-base/Documentos/Aula 4 - Como vender no inbox.md
Dispositivos de Engenharia Social - Stories 10x.md,BOTH,social-engineering-devices,Social engineering devices and psychological triggers,squads/leandro-ladeira/data/knowledge-base/Documentos/Dispositivos de Engenharia Social - Stories 10x.md
Material de Apoio - Stories 10x.md,THINKING,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Documentos/Material de Apoio - Stories 10x.md
Resumo do Módulo 1 [Extra].md,BOTH,summary,Summary and key takeaways of module,squads/leandro-ladeira/data/knowledge-base/Documentos/Resumo do Módulo 1 [Extra].md
Resumo do Módulo 2 [Extra].md,THINKING,summary,Summary and key takeaways of module,squads/leandro-ladeira/data/knowledge-base/Documentos/Resumo do Módulo 2 [Extra].md
Resumo do Módulo 3 [Extra].md,THINKING,summary,Summary and key takeaways of module,squads/leandro-ladeira/data/knowledge-base/Documentos/Resumo do Módulo 3 [Extra].md
Resumo do Módulo 4 [Extra].md,THINKING,summary,Summary and key takeaways of module,squads/leandro-ladeira/data/knowledge-base/Documentos/Resumo do Módulo 4 [Extra].md
Resumo do Módulo 6 [Extra].md,THINKING,summary,Summary and key takeaways of module,squads/leandro-ladeira/data/knowledge-base/Documentos/Resumo do Módulo 6 [Extra].md
Stories 10x - Planilha Pragmática - [Coloque seu nome + sobrenome] - nicho.md,THINKING,planning,Practical worksheet for implementation,squads/leandro-ladeira/data/knowledge-base/Documentos/Stories 10x - Planilha Pragmática - [Coloque seu nome + sobrenome] - nicho.md
zAula Extra - Validação por Menor Esforço (VME).md,THINKING,validation,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Documentos/zAula Extra - Validação por Menor Esforço (VME).md
Curso lightcopy aula 1.md,VOICE,copywriting-lightcopy,Lightweight copywriting techniques and CPLs,squads/leandro-ladeira/data/knowledge-base/Leandro Ladeira - CPLs Lightcopy/Curso lightcopy aula 1.md
Curso lightcopy aula 2.md,THINKING,copywriting-lightcopy,Lightweight copywriting techniques and CPLs,squads/leandro-ladeira/data/knowledge-base/Leandro Ladeira - CPLs Lightcopy/Curso lightcopy aula 2.md
Curso lightcopy aula 3.md,BOTH,copywriting-lightcopy,Lightweight copywriting techniques and CPLs,squads/leandro-ladeira/data/knowledge-base/Leandro Ladeira - CPLs Lightcopy/Curso lightcopy aula 3.md
Aula 1 - Visão geral da estratégia - Parte 1.md,BOTH,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira (AO VIVO)/Modulo 01 - Estratégia/Aula 1 - Visão geral da estratégia - Parte 1.md
Aula 2 - Visão geral da estratégia - Parte 2.md,VOICE,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira (AO VIVO)/Modulo 01 - Estratégia/Aula 2 - Visão geral da estratégia - Parte 2.md
Aula 3 - Visão geral da estratégia - Perguntas e respostas.md,VOICE,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira (AO VIVO)/Modulo 01 - Estratégia/Aula 3 - Visão geral da estratégia - Perguntas e respostas.md
Aula 4 - Como vender no inbox.md,BOTH,inbox-sales,Selling through direct messages,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira (AO VIVO)/Modulo 01 - Estratégia/Aula 4 - Como vender no inbox.md
Aula 11 - Análise 6 - nicho Arquitetura.md,BOTH,niche-analysis: architecture,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira (AO VIVO)/Modulo 02 - Análises/Aula 11 - Análise 6 - nicho Arquitetura.md
Aula 12 - Análise 7 - nicho Saúde.md,VOICE,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira (AO VIVO)/Modulo 02 - Análises/Aula 12 - Análise 7 - nicho Saúde.md
Aula 13 - Análise 8 - nicho Direito.md,VOICE,niche-analysis: law,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira (AO VIVO)/Modulo 02 - Análises/Aula 13 - Análise 8 - nicho Direito.md
Aula 14 - Análise 9 - nicho Fotografia.md,VOICE,niche-analysis: photography,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira (AO VIVO)/Modulo 02 - Análises/Aula 14 - Análise 9 - nicho Fotografia.md
Aula 15 - Análise 10 - nicho Hobbies.md,BOTH,niche-analysis: hobbies,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira (AO VIVO)/Modulo 02 - Análises/Aula 15 - Análise 10 - nicho Hobbies.md
Aula 16 - Análise 11 - Vender no Inbox.md,VOICE,inbox-sales,Selling through direct messages,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira (AO VIVO)/Modulo 02 - Análises/Aula 16 - Análise 11 - Vender no Inbox.md
Aula 17 - Análise 12 - nicho Hobbies.md,VOICE,niche-analysis: hobbies,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira (AO VIVO)/Modulo 02 - Análises/Aula 17 - Análise 12 - nicho Hobbies.md
Aula 18 - Análise 13 - nicho Amamentação + Finalização.md,VOICE,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira (AO VIVO)/Modulo 02 - Análises/Aula 18 - Análise 13 - nicho Amamentação + Finalização.md
Aula 5 - Stories10x - Exemplos Cátia e Leandro.md,VOICE,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira (AO VIVO)/Modulo 02 - Análises/Aula 5 - Stories10x - Exemplos Cátia e Leandro.md
Aula 6 - Análise 1 - nicho Desenvolvimento Pessoal.md,VOICE,niche-analysis: personal-development,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira (AO VIVO)/Modulo 02 - Análises/Aula 6 - Análise 1 - nicho Desenvolvimento Pessoal.md
Aula 7 - Análise 2 - nicho Emagrecimento.md,VOICE,niche-analysis: weight-loss,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira (AO VIVO)/Modulo 02 - Análises/Aula 7 - Análise 2 - nicho Emagrecimento.md
Aula 8 - Análise 3 - nicho Amamentação.md,BOTH,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira (AO VIVO)/Modulo 02 - Análises/Aula 8 - Análise 3 - nicho Amamentação.md
Aula 9 - Análise 4 - nicho Culinária.md,BOTH,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira (AO VIVO)/Modulo 02 - Análises/Aula 9 - Análise 4 - nicho Culinária.md
Aula 19 - Como traquear as vendas - Parte 1.md,BOTH,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira (AO VIVO)/Modulo 03 - Traqueamento/Aula 19 - Como traquear as vendas - Parte 1.md
Aula 20 - Como traquear as vendas - parte 2.md,VOICE,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira (AO VIVO)/Modulo 03 - Traqueamento/Aula 20 - Como traquear as vendas - parte 2.md
Aula 01 - Boas vindas.md,BOTH,introduction,Welcome and introduction to Stories 10x methodology,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 1 - Comece por aqui/Aula 01 - Boas vindas.md
Aula 02 - O que é o S10x.md,BOTH,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 1 - Comece por aqui/Aula 02 - O que é o S10x.md
Aula 03 - Por que é tão mais eficiente.md,VOICE,rationale,Explanation of Stories 10x efficiency and advantages,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 1 - Comece por aqui/Aula 03 - Por que é tão mais eficiente.md
Aula 04 - A visão geral do método.md,BOTH,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 1 - Comece por aqui/Aula 04 - A visão geral do método.md
Aula 1 - Visão geral da estratégia - Parte 1.md,BOTH,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 5 - Estratégia/Aula 1 - Visão geral da estratégia - Parte 1.md
Aula 2 - Visão geral da estratégia - Parte 2.md,VOICE,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 5 - Estratégia/Aula 2 - Visão geral da estratégia - Parte 2.md
Aula 3 - Visão geral da estratégia - Perguntas e respostas.md,VOICE,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 5 - Estratégia/Aula 3 - Visão geral da estratégia - Perguntas e respostas.md
Aula 4 - Como vender no inbox.md,BOTH,inbox-sales,Selling through direct messages,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 5 - Estratégia/Aula 4 - Como vender no inbox.md
Aula 10 - Análise 5 - nicho Finanças.md,VOICE,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 10 - Análise 5 - nicho Finanças.md
Aula 11 - Análise 6 - nicho Arquitetura.md,BOTH,niche-analysis: architecture,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 11 - Análise 6 - nicho Arquitetura.md
Aula 12 - Análise 7 - nicho Saúde.md,VOICE,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 12 - Análise 7 - nicho Saúde.md
Aula 13 - Análise 8 - nicho Direito.md,VOICE,niche-analysis: law,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 13 - Análise 8 - nicho Direito.md
Aula 14 - Análise 9 - nicho Fotografia.md,VOICE,niche-analysis: photography,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 14 - Análise 9 - nicho Fotografia.md
Aula 16 - Análise 11 - Vender no Inbox.md,VOICE,inbox-sales,Selling through direct messages,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 16 - Análise 11 - Vender no Inbox.md
Aula 17 - Análise 12 - nicho Hobbies.md,VOICE,niche-analysis: hobbies,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 17 - Análise 12 - nicho Hobbies.md
Aula 18 - Análise 13 - nicho Amamentação + Finalização.md,VOICE,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 18 - Análise 13 - nicho Amamentação + Finalização.md
Aula 5 - Stories10x - Exemplos Cátia e Leandro.md,VOICE,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 5 - Stories10x - Exemplos Cátia e Leandro.md
Aula 6 - Análise 1 - nicho Desenvolvimento Pessoal.md,VOICE,niche-analysis: personal-development,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 6 - Análise 1 - nicho Desenvolvimento Pessoal.md
Aula 7 - Análise 2 - nicho Emagrecimento.md,VOICE,niche-analysis: weight-loss,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 7 - Análise 2 - nicho Emagrecimento.md
Aula 9 - Análise 4 - nicho Culinária.md,BOTH,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 6 - Análises/Aula 9 - Análise 4 - nicho Culinária.md
Aula 20 - Como traquear as vendas - parte 2.md,VOICE,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Modulo 7 - Traqueamento/Aula 20 - Como traquear as vendas - parte 2.md
Aula 01 - Cadastrando produtos e serviço.md,VOICE,setup,"Setup instructions for products, services, and partners",squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 2 - Stories10x/Aula 01 - Cadastrando produtos e serviço.md
Aula 02 - Cadastrando parceiros.md,VOICE,setup,"Setup instructions for products, services, and partners",squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 2 - Stories10x/Aula 02 - Cadastrando parceiros.md
Aula 03 - Ideias fortes e infinitas.md,VOICE,ideation,Methods for generating strong content ideas,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 2 - Stories10x/Aula 03 - Ideias fortes e infinitas.md
Aula 04 - Super Sequências.md,BOTH,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 2 - Stories10x/Aula 04 - Super Sequências.md
Aula 01 - A lógica das sequências.md,BOTH,stories-10x-strategy,Stories 10x methodology and implementation guide,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 3 - Stories10x/Aula 01 - A lógica das sequências.md
Aula 02 - Como utilizar os dispositivos no app.md,BOTH,social-engineering-devices,Social engineering devices and psychological triggers,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 3 - Stories10x/Aula 02 - Como utilizar os dispositivos no app.md
Aula 03 - Dispositivos de engenharia social - Parte 1 (1 ao 10).md,BOTH,social-engineering-devices,Social engineering devices and psychological triggers,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 3 - Stories10x/Aula 03 - Dispositivos de engenharia social - Parte 1 (1 ao 10).md
Aula 04 - Dispositivos de engenharia social - Parte 2 (11 ao 20).md,BOTH,social-engineering-devices,Social engineering devices and psychological triggers,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 3 - Stories10x/Aula 04 - Dispositivos de engenharia social - Parte 2 (11 ao 20).md
Aula 05 - Dispositivos de engenharia social - Parte 3 (21 ao 30).md,VOICE,social-engineering-devices,Social engineering devices and psychological triggers,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 3 - Stories10x/Aula 05 - Dispositivos de engenharia social - Parte 3 (21 ao 30).md
Aula 06 - Dispositivos de engenharia social - Parte 4 (31 ao 37).md,VOICE,social-engineering-devices,Social engineering devices and psychological triggers,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 3 - Stories10x/Aula 06 - Dispositivos de engenharia social - Parte 4 (31 ao 37).md
Aula 01 - Debriefing - Análise de resultados.md,VOICE,analysis,Analysis of results and performance metrics,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 4 - Stories10x/Aula 01 - Debriefing - Análise de resultados.md
Aula 02 - Crescimento dos seguidores.md,VOICE,growth,Follower growth strategies and tactics,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 4 - Stories10x/Aula 02 - Crescimento dos seguidores.md
Aula 03 - Inbox lucrativo.md,BOTH,inbox-sales,Selling through direct messages,squads/leandro-ladeira/data/knowledge-base/Stories 10x - Leandro Ladeira/Módulo 4 - Stories10x/Aula 03 - Inbox lucrativo.md
